player_name,team,age,matches_played,matches_started,minutes_played,own_goals,goals,assists,shots,shots_on_target,shot_distance,free_kicks,penalty_kicks,pass_attempted,pass_completed,pass_distance,pass_final_third,pass_18_yard,crosses_18_yard,pass_before_shot,corner_kicks,chance_created,shot_creation_actions,goal_creation_actions,blocks,interceptions,aerial_battles_won,aerial_battles_lost,touches_defensive_pen,touches_defensive_third,touches_attacking_pen,touches_attacking_third,yellow_card,yellow_card_2nd,red_card,fouls_commited,fouls_drawn,offsides,penalty_won,penalty_conceded
Jorginho,Chelsea,31,18,15,1279,0,2,0,0.21,0.07,34.1,0,0.14,62.3,52.8,844.9,6.13,0.63,0,0.49,0,0.63,2.04,0.14,2.54,1.48,0.56,0.77,2.54,19.2,0.56,12.5,0.28,0,0,0.85,1.62,0,0,0
Diogo Jota,Liverpool,26,4,2,196,0,0,0.45,1.36,0.45,7.8,0,0,29.1,17.3,245.5,1.82,0.91,0.45,3.18,0,3.6300000000000003,3.18,0.45,1.82,0.91,1.36,2.27,3.18,9.55,5,16.8,0.45,0,0,1.36,1.82,0.91,0,0
Hamed Junior Traorè,Bournemouth,22,2,2,150,0,0,0,0.59,0,35.1,0.59,0,33.5,20.6,355.9,2.35,2.35,1.18,2.94,2.94,2.94,3.53,0,3.52,0.59,0,0.59,0,4.71,1.76,24.1,0,0,0,0.59,0,0,0,0
James Justin,Leicester City,24,14,14,1252,0,0,0,0.36,0,23.4,0,0,58.9,48,748.5,3.45,0.86,0.5,0.5,0,0.5,1.51,0.14,3.45,1.08,1.65,2.3,3.45,21.3,0.58,15.5,0,0,0,0.58,2.09,0.14,0.07,0
Mathias Jørgensen,Brentford,32,13,8,745,0.12,0,0,0.36,0.12,8.5,0,0,40.8,32.8,558.1,2.77,0,0,0.12,0,0.12,0.36,0.12,4.1,1.69,1.2,1.2,7.71,25.3,0.84,2.41,0.12,0,0,0.72,0.36,0.24,0,0
Sasa Kalajdzic,Wolves,25,1,1,45,0,0,0,2,0,4.4,0,0,8,4,52,0,0,0,0,0,0,0,0,0,2,0,0,0,4,4,8,0,0,0,0,2,0,0,0
Boubacar Kamara,Aston Villa,23,15,14,1195,0,0,0.08,0.3,0.08,29.7,0,0,53.9,45.3,749.7,3.76,0.3,0,0.38,0,0.38,1.43,0.23,3.76,0.83,1.43,1.05,3.46,18.5,0.45,7.89,0.23,0,0,1.58,1.43,0,0,0
Harry Kane,Tottenham,29,23,23,2055,0,17,0.04,3.55,1.58,15.5,0.09,0.09,23.5,16.3,302.2,2.37,1.32,0.18,1.71,0,2.06,3.68,0.39,1.5,0.04,1.75,2.02,0.75,2.46,4.78,15.9,0.18,0,0,0.83,1.4,0.48,0.04,0
N'Golo Kanté,Chelsea,31,2,2,174,0,0,0,1.05,0.53,21.9,0,0,67.9,56.3,797.9,4.74,1.58,0.53,1.58,0,1.58,3.68,0.53,1.06,1.58,0,1.05,0.53,7.89,2.11,28.4,0,0,0,0,0,0.53,0,0
Michael Keane,Everton,30,1,0,23,0,0,0,0,0,0,0,0,13.3,6.67,70,3.33,0,0,0,0,0,3.33,0,0,0,0,3.33,13.3,20,0,10,0,0,0,3.33,0,0,0,0
Neeskens Kebano,Fulham,30,12,9,713,0,0,0.38,1.14,0.25,15.2,0,0,23.8,17.6,234.2,0.25,1.14,0.38,1.39,0.25,1.39,2.66,0.63,3.04,0.13,0.13,1.52,1.27,5.82,3.42,21,0,0,0,1.01,1.9,0.25,0,0
Thilo Kehrer,West Ham,26,17,17,1485,0.06,0,0,0.42,0.06,19.7,0,0,47.1,39.2,694.2,2.48,0.06,0,0.12,0,0.12,0.91,0.12,1.33,1.33,1.15,1.45,5.52,25.7,0.73,5.58,0.24,0,0,1.39,0.48,0,0,0.06
Naby Keïta,Liverpool,28,6,2,247,0,0,0,3.7,0,20.6,0,0,53.7,41.1,583.3,5.56,0.74,0,2.59,0,2.59,4.07,0,0.74,0.37,0.74,1.85,1.11,8.15,4.07,20.4,0,0,0,2.96,0.74,0,0,0
Lloyd Kelly,Bournemouth,24,10,10,900,0,0,0.2,0.2,0,8.7,0,0,49,38.8,774.6,2.9,0.3,0.2,0.3,0,0.3,0.4,0.2,2.4,1.3,1.9,0.8,8.9,36.3,0.5,3.6,0.2,0,0,0.8,0.2,0,0,0.1
Max Kilman,Wolves,25,22,22,1980,0,0,0,0.36,0,8.8,0,0,57.8,47.8,920.8,3.64,0.18,0,0.05,0,0.05,0.59,0.09,4.09,0.68,2.14,1.27,12.8,42.3,0.64,1.45,0.14,0,0,0.45,0.23,0,0,0
Mateusz Klich,Leeds United,32,14,0,280,0,0,0,1.29,0.32,21.7,0,0,47.7,34.8,455.2,1.94,1.61,0,1.61,0.97,1.61,2.26,0,2.58,0,0.32,0.65,0.97,8.06,2.9,27.4,0.65,0,0,3.23,0.97,0,0,0
Robin Koch,Leeds United,26,20,20,1752,0.05,0,0,0.31,0.05,12.6,0,0,47.3,36,696.6,3.54,0.15,0,0.05,0,0.15000000000000002,0.31,0,2.77,1.49,2.56,1.49,7.85,30.7,0.56,2.31,0.26,0,0,1.23,0.56,0,0,0
Ibrahima Konaté,Liverpool,23,5,4,382,0.24,0,0,0.71,0.24,9.6,0,0,64,55,961.7,2.38,0.24,0,0,0,0,0.95,0,0.96,2.14,2.86,1.67,8.33,43.1,1.19,2.62,0,0,0,1.19,0.71,0.24,0,0
Ezri Konsa,Aston Villa,25,21,20,1792,0,0,0,0.2,0,8,0,0,51.4,44.3,813.2,1.91,0.2,0.1,0.2,0,0.25,0.35,0.05,1.8,0.8,1.66,1.21,8.49,33.6,0.45,2.06,0.15,0,0,0.35,1.86,0,0,0
Kalidou Koulibaly,Chelsea,31,14,12,1115,0,2,0,0.73,0.32,12.5,0,0,77.3,66.1,1156,4.6,0.4,0,0.4,0,0.4,1.29,0.16,2.26,1.45,1.77,1.45,7.58,39.8,1.21,4.35,0.4,0.08,0.08,1.45,0.48,0,0,0
Cheikhou Kouyaté,Nott'ham Forest,33,12,9,704,0,1,0,0.64,0.64,17.1,0,0,26.4,20.4,326.3,1.41,0.26,0,0.64,0,0.64,0.9,0,3.34,0.64,1.79,0.64,3.46,13.5,1.28,6.54,0.26,0,0,1.92,0.9,0,0,0
Mateo Kova?i?,Chelsea,28,15,7,835,0,0,0.11,1.29,0,25.6,0,0,68.9,57.7,951.9,8.39,1.29,0.11,1.08,0,1.73,3.01,0.22,1.08,1.29,0.43,0.75,1.83,14,0.32,15.3,0.32,0,0,1.08,0.54,0,0,0
Emil Krafth,Newcastle Utd,28,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Dejan Kulusevski,Tottenham,22,15,13,1132,0,2,0.4,1.67,0.48,17.2,0,0,33.4,25.5,350.9,0.63,1.67,0.48,1.98,0.71,2.14,4.13,0.63,1.58,0.16,0.24,0.24,1.03,7.46,5.32,23.7,0,0,0,1.19,1.03,0.08,0,0
Layvin Kurzawa,Fulham,30,3,2,135,0,0,0,0,0,0,0,0,27.3,18.7,272,0.67,0.67,0.67,0,0,0,0,0,1.34,1.33,0,1.33,5.33,23.3,0,7.33,0.67,0,0,0.67,0,0,0,0
Adam Lallana,Brighton,34,16,12,722,0,2,0.13,1,0.63,13.3,0,0,39.6,32.8,379.1,2.88,1.13,0.13,1.75,0.13,1.75,2.75,0.25,1.5,0.25,1,1.13,0.75,5.38,4.13,18.9,0,0,0,0.25,0.88,0,0,0
Tariq Lamptey,Brighton,22,18,2,409,0,0,0,0.67,0,17.3,0,0,59.1,46.4,675.6,2.67,1.78,1.11,0.67,0,0.89,2.67,0,2.22,1.33,0.44,1.33,3.11,15.8,3.56,33.3,0.22,0,0,1.33,2.67,0,0,0
Manuel Lanzini,West Ham,29,5,1,126,0,0,0,1.43,0,31,0,0,59.3,48.6,785,4.29,1.43,0,0,0,0,1.43,0,1.42,0,0,0.71,0,10.7,0,15.7,0,0,0,0.71,0,0.71,0,0
Aymeric Laporte,Manchester City,28,5,4,376,0,0,0,1.67,0,16.8,0,0,74.8,68.6,1166.9,7.62,1.19,0,0.71,0,0.95,0.95,0,2.86,0.24,3.33,1.67,8.1,26.4,1.67,16.4,0,0,0,0,0.48,0,0,0
Juan Larios,Southampton,19,5,2,152,0,0,0,0,0,0,0,0,48.2,37.1,518.2,2.94,0,0,0,0,0,0.59,0.59,2.36,1.76,1.18,2.94,5.88,18.8,1.18,11.8,0,0,0,0.59,0,0,0,0
Jamaal Lascelles,Newcastle Utd,29,4,1,107,0,0,0,0.83,0,8.5,0,0,21.7,17.5,360.8,0.83,0,0,0,0,0,0,0,5,0,3.33,0.83,12.5,23.3,0.83,0.83,2.5,0,0,3.33,1.67,0,0,0
Roméo Lavia,Southampton,19,13,11,893,0,1,0,0.51,0.2,25.7,0,0,37.9,32.8,589.4,4.55,0.51,0,0.51,0.1,0.71,1.31,0,4.24,1.62,0.4,0.3,1.62,10.1,0,7.98,0.4,0,0,1.01,1.92,0,0,0
Dexter Lembikisa,Wolves,19,1,0,23,0,0,0,0,0,0,0,0,43.3,33.3,600,6.67,0,0,0,0,0,3.33,0,0,0,0,3.33,0,10,0,10,0,0,0,0,0,0,0,0
Mario Lemina,Wolves,29,4,3,192,0,0,0,0.48,0,32.7,0,0,43.3,38.1,639,1.43,1.43,0.48,0.48,0,0.48,0.95,0,5.72,0.95,1.9,0,4.29,18.1,0,8.57,1.43,0.48,0.48,1.43,0.95,0,0,0
